"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 28 21:45:26 GMT 2022","Mon Nov 28 21:45:27 GMT 2022","821","chromium","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Mon Nov 28 21:45:17 GMT 2022","Mon Nov 28 21:45:18 GMT 2022","800","chromium","demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"skipped","Mon Nov 28 21:45:27 GMT 2022","Mon Nov 28 21:45:27 GMT 2022","0","chromium","dummyapi.spec.ts","tests dummyapi.io","","","should list the first 10 users from 99 in total",""
"passed","Mon Nov 28 21:45:08 GMT 2022","Mon Nov 28 21:45:08 GMT 2022","813","chromium","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Mon Nov 28 21:45:15 GMT 2022","Mon Nov 28 21:45:16 GMT 2022","808","chromium","demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Mon Nov 28 21:45:27 GMT 2022","Mon Nov 28 21:45:28 GMT 2022","1491","chromium","example.spec.ts","","","","homepage has title and links to intro page",""
"passed","Mon Nov 28 21:45:23 GMT 2022","Mon Nov 28 21:45:24 GMT 2022","1082","chromium","demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Mon Nov 28 21:45:19 GMT 2022","Mon Nov 28 21:45:19 GMT 2022","838","chromium","demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Mon Nov 28 21:45:16 GMT 2022","Mon Nov 28 21:45:16 GMT 2022","843","chromium","demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Mon Nov 28 21:45:24 GMT 2022","Mon Nov 28 21:45:25 GMT 2022","887","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Mon Nov 28 21:45:22 GMT 2022","Mon Nov 28 21:45:23 GMT 2022","913","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Mon Nov 28 21:45:10 GMT 2022","Mon Nov 28 21:45:11 GMT 2022","1103","chromium","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Mon Nov 28 21:45:12 GMT 2022","Mon Nov 28 21:45:13 GMT 2022","898","chromium","demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"skipped","Mon Nov 28 21:45:27 GMT 2022","Mon Nov 28 21:45:27 GMT 2022","0","chromium","dummyapi.spec.ts","tests dummyapi.io","","","it should return an error because of unvalid body",""
"skipped","Mon Nov 28 21:45:27 GMT 2022","Mon Nov 28 21:45:27 GMT 2022","1","chromium","dummyapi.spec.ts","tests dummyapi.io","","","it should return an error because of unvalid path",""
"passed","Mon Nov 28 21:45:18 GMT 2022","Mon Nov 28 21:45:19 GMT 2022","616","chromium","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Mon Nov 28 21:45:21 GMT 2022","Mon Nov 28 21:45:22 GMT 2022","984","chromium","demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Mon Nov 28 21:45:09 GMT 2022","Mon Nov 28 21:45:10 GMT 2022","890","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Mon Nov 28 21:45:25 GMT 2022","Mon Nov 28 21:45:26 GMT 2022","954","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Mon Nov 28 21:45:19 GMT 2022","Mon Nov 28 21:45:20 GMT 2022","896","chromium","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Mon Nov 28 21:45:07 GMT 2022","Mon Nov 28 21:45:08 GMT 2022","595","chromium","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Mon Nov 28 21:45:20 GMT 2022","Mon Nov 28 21:45:21 GMT 2022","810","chromium","demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Mon Nov 28 21:45:08 GMT 2022","Mon Nov 28 21:45:09 GMT 2022","832","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Mon Nov 28 21:45:06 GMT 2022","Mon Nov 28 21:45:07 GMT 2022","1217","chromium","demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Mon Nov 28 21:45:13 GMT 2022","Mon Nov 28 21:45:14 GMT 2022","895","chromium","demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"skipped","Mon Nov 28 21:45:27 GMT 2022","Mon Nov 28 21:45:27 GMT 2022","0","chromium","dummyapi.spec.ts","tests dummyapi.io","","","it should return an empty result array",""
"passed","Mon Nov 28 21:45:11 GMT 2022","Mon Nov 28 21:45:12 GMT 2022","852","chromium","demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Mon Nov 28 21:45:14 GMT 2022","Mon Nov 28 21:45:15 GMT 2022","817","chromium","demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Mon Nov 28 21:45:16 GMT 2022","Mon Nov 28 21:45:17 GMT 2022","738","chromium","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
