"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 29 10:39:32 GMT 2022","Tue Nov 29 10:39:33 GMT 2022","712","firefox","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Tue Nov 29 10:39:13 GMT 2022","Tue Nov 29 10:39:13 GMT 2022","687","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Tue Nov 29 10:39:54 GMT 2022","Tue Nov 29 10:39:55 GMT 2022","1331","firefox","demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Tue Nov 29 10:40:23 GMT 2022","Tue Nov 29 10:40:25 GMT 2022","1911","webkit","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Tue Nov 29 10:39:21 GMT 2022","Tue Nov 29 10:39:22 GMT 2022","497","chromium","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Tue Nov 29 10:39:47 GMT 2022","Tue Nov 29 10:39:48 GMT 2022","1034","firefox","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Tue Nov 29 10:39:59 GMT 2022","Tue Nov 29 10:40:02 GMT 2022","2547","webkit","demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Tue Nov 29 10:40:21 GMT 2022","Tue Nov 29 10:40:23 GMT 2022","1534","webkit","demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Tue Nov 29 10:39:23 GMT 2022","Tue Nov 29 10:39:24 GMT 2022","686","chromium","demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Tue Nov 29 10:40:07 GMT 2022","Tue Nov 29 10:40:09 GMT 2022","2067","webkit","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Tue Nov 29 10:39:26 GMT 2022","Tue Nov 29 10:39:26 GMT 2022","682","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Tue Nov 29 10:39:28 GMT 2022","Tue Nov 29 10:39:28 GMT 2022","186","chromium","dummyapi.spec.ts","tests dummyapi.io","","","it should return an error because of unvalid body",""
"passed","Tue Nov 29 10:39:20 GMT 2022","Tue Nov 29 10:39:21 GMT 2022","635","chromium","demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
