"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Nov 23 20:43:59 GMT 2022","Wed Nov 23 20:44:30 GMT 2022","31567","firefox","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Wed Nov 23 20:26:38 GMT 2022","Wed Nov 23 20:26:41 GMT 2022","2550","firefox","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"broken","Wed Nov 23 20:08:11 GMT 2022","Wed Nov 23 20:08:41 GMT 2022","30521","chromium","demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"broken","Wed Nov 23 20:03:31 GMT 2022","Wed Nov 23 20:04:01 GMT 2022","30407","chromium","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"broken","Wed Nov 23 20:58:32 GMT 2022","Wed Nov 23 20:59:03 GMT 2022","30991","webkit","demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Wed Nov 23 20:44:31 GMT 2022","Wed Nov 23 20:44:34 GMT 2022","2834","firefox","demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Wed Nov 23 20:26:09 GMT 2022","Wed Nov 23 20:26:10 GMT 2022","1101","chromium","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"broken","Wed Nov 23 20:20:58 GMT 2022","Wed Nov 23 20:21:29 GMT 2022","30503","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"broken","Wed Nov 23 20:33:52 GMT 2022","Wed Nov 23 20:34:24 GMT 2022","31525","firefox","demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"passed","Wed Nov 23 20:53:04 GMT 2022","Wed Nov 23 20:53:06 GMT 2022","1813","webkit","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"broken","Wed Nov 23 20:24:05 GMT 2022","Wed Nov 23 20:24:35 GMT 2022","30502","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Wed Nov 23 20:52:35 GMT 2022","Wed Nov 23 20:52:38 GMT 2022","2935","firefox","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"broken","Wed Nov 23 20:41:54 GMT 2022","Wed Nov 23 20:42:26 GMT 2022","31567","firefox","demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"broken","Wed Nov 23 20:40:18 GMT 2022","Wed Nov 23 20:40:49 GMT 2022","31548","firefox","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"broken","Wed Nov 23 20:14:24 GMT 2022","Wed Nov 23 20:14:54 GMT 2022","30495","chromium","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Wed Nov 23 20:52:38 GMT 2022","Wed Nov 23 20:52:40 GMT 2022","1898","firefox","example.spec.ts","","","","homepage has title and links to intro page",""
"broken","Wed Nov 23 20:15:57 GMT 2022","Wed Nov 23 20:16:27 GMT 2022","30521","chromium","demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"broken","Wed Nov 23 20:47:14 GMT 2022","Wed Nov 23 20:47:45 GMT 2022","31522","firefox","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Wed Nov 23 20:26:10 GMT 2022","Wed Nov 23 20:26:12 GMT 2022","1423","chromium","example.spec.ts","","","","homepage has title and links to intro page",""
"broken","Wed Nov 23 20:48:50 GMT 2022","Wed Nov 23 20:49:22 GMT 2022","31547","firefox","demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"failed","Wed Nov 23 20:27:23 GMT 2022","Wed Nov 23 20:27:31 GMT 2022","8290","firefox","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"broken","Wed Nov 23 20:38:41 GMT 2022","Wed Nov 23 20:39:13 GMT 2022","31545","firefox","demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"broken","Wed Nov 23 20:22:31 GMT 2022","Wed Nov 23 20:23:02 GMT 2022","30515","chromium","demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"failed","Wed Nov 23 20:53:21 GMT 2022","Wed Nov 23 20:53:28 GMT 2022","7292","webkit","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"failed","Wed Nov 23 20:42:44 GMT 2022","Wed Nov 23 20:42:52 GMT 2022","8011","firefox","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"failed","Wed Nov 23 20:02:22 GMT 2022","Wed Nov 23 20:02:28 GMT 2022","6163","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"failed","Wed Nov 23 20:01:42 GMT 2022","Wed Nov 23 20:01:48 GMT 2022","6037","chromium","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"failed","Wed Nov 23 20:02:02 GMT 2022","Wed Nov 23 20:02:08 GMT 2022","6056","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"broken","Wed Nov 23 20:55:23 GMT 2022","Wed Nov 23 20:55:54 GMT 2022","30933","webkit","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"broken","Wed Nov 23 20:32:16 GMT 2022","Wed Nov 23 20:32:47 GMT 2022","31544","firefox","demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Wed Nov 23 20:01:28 GMT 2022","Wed Nov 23 20:01:29 GMT 2022","802","chromium","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"broken","Wed Nov 23 20:11:17 GMT 2022","Wed Nov 23 20:11:48 GMT 2022","30502","chromium","demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Wed Nov 23 20:16:48 GMT 2022","Wed Nov 23 20:16:49 GMT 2022","1102","chromium","demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"failed","Wed Nov 23 20:53:45 GMT 2022","Wed Nov 23 20:53:53 GMT 2022","7432","webkit","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"failed","Wed Nov 23 20:52:57 GMT 2022","Wed Nov 23 20:53:04 GMT 2022","6809","webkit","demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
